2026-04-03 20:40:34.637 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/system/user -> 200 (696ms)
2026-04-03 20:40:35.090 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (437ms)
2026-04-03 20:40:35.824 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/system/user -> 200 (706ms)
2026-04-03 20:40:36.283 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (447ms)
2026-04-03 20:40:37.019 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/system/user -> 200 (709ms)
2026-04-03 20:40:37.466 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (433ms)
2026-04-03 20:40:38.232 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/system/user -> 200 (738ms)
2026-04-03 20:40:38.655 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (411ms)
2026-04-03 20:40:39.111 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (444ms)
2026-04-03 20:40:39.280 | DEBUG    | core.request_wrapper:123 - [HTTP] GET http://localhost:1024/dev-api/system/user/getInfo -> 200 (168ms)
2026-04-03 20:40:39.709 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (413ms)
2026-04-03 20:40:39.711 | INFO     | business.system_flows:80 - [SystemFlows] 登录成功，token 已注入。user=admin
2026-04-03 20:40:39.860 | DEBUG    | core.request_wrapper:123 - [HTTP] GET http://localhost:1024/dev-api/system/user/getInfo -> 200 (149ms)
2026-04-03 20:40:39.862 | INFO     | business.system_flows:125 - [SystemFlows] getInfo 成功: userId=1, roles=['admin'], permissions_count=1
2026-04-03 20:40:40.282 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (410ms)
2026-04-03 20:40:40.735 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (432ms)
2026-04-03 20:40:40.883 | DEBUG    | core.request_wrapper:123 - [HTTP] GET http://localhost:1024/dev-api/system/user/getInfo -> 200 (148ms)
2026-04-03 20:40:40.910 | DEBUG    | core.request_wrapper:123 - [HTTP] GET http://localhost:1024/dev-api/system/user/getInfo -> 200 (17ms)
